time_raw,price,load_kw,pv_kw,interval,net_load_kwh
13:30,0.8618,5717.8505,6910.4064,13:20-13:30,-198.75931666666656
13:40,0.8623,5708.2486,6772.4075,13:30-13:40,-177.3598166666668
13:50,0.9026,5696.9182,6607.36,13:40-13:50,-151.74029999999982
14:00,0.9754,5692.2983,6412.5085,13:50-14:00,-120.0350333333331
14:10,1.0002,5687.1291,6214.0158,14:00-14:10,-87.81445000000008
14:20,0.9978,5678.962,6000.7112,14:10-14:20,-53.62486666666655
14:30,1.0271,5669.4508,5766.9816,14:20-14:30,-16.255133333333447
14:40,1.0906,5664.1948,5521.5066,14:30-14:40,23.781366666666713
14:50,0.9376,5672.7011,5268.781,14:40-14:50,67.32001666666679
15:00,0.6694,5682.2544,5009.7152,14:50-15:00,112.0898666666667
15:10,0.66,5669.0195,4743.4484,15:00-15:10,154.26184999999998
15:20,0.7217,5656.3651,4471.224,15:10-15:20,197.52351666666664
15:30,0.7308,5657.0867,4188.2025,15:20-15:30,244.8140333333332
15:40,0.7534,5662.6008,3889.3931,15:30-15:40,295.5346166666667
15:50,0.7823,5669.2596,3594.5946,15:40-15:50,345.77750000000015
16:00,0.8055,5673.4767,3303.8878,15:50-16:00,394.9314833333333
16:10,0.8271,5671.0146,2998.4247,16:00-16:10,445.4316500000001
16:20,0.8519,5661.5926,2687.4131,16:10-16:20,495.69658333333325
16:30,0.8791,5665.8922,2383.1779,16:20-16:30,547.11905
16:40,0.9024,5689.0372,2089.1246,16:30-16:40,599.9854333333333
16:50,0.9163,5603.6614,1791.0829,16:40-16:50,635.4297499999999
17:00,0.9264,5466.7124,1501.7283,16:50-17:00,660.8306833333334
17:10,0.9462,5467.3939,1255.1723,17:00-17:10,702.0369333333333
17:20,0.9742,5464.727,1036.3323,17:10-17:20,738.0657833333333
17:30,0.9862,5492.4458,836.7775,17:20-17:30,775.9447166666666
17:40,0.976,5621.7308,665.2313,17:30-17:40,826.08325
17:50,1.0742,5091.2126,516.6758,17:40-17:50,762.4227999999999
18:00,1.2313,4208.5688,386.6731,17:50-18:00,636.9826166666667
18:10,1.2561,4122.7611,275.7933,18:00-18:10,641.1612999999999
18:20,1.2447,4255.9358,182.9526,18:10-18:20,678.8305333333333
18:30,1.2545,4225.9524,108.3414,18:20-18:30,686.2684999999999
18:40,1.2522,4233.3384,54.3121,18:30-18:40,696.5043833333333
18:50,1.2881,4246.4625,18.6569,18:40-18:50,704.6342666666666
19:00,1.3466,4239.1795,0.2753,18:50-19:00,706.4840333333333
19:10,1.3523,4244.6684,0.2296,19:00-19:10,707.4064666666666
19:20,1.3445,4251.9187,0.6007,19:10-19:20,708.553
19:30,1.3483,4256.6813,0.0,19:20-19:30,709.4468833333333
19:40,1.349,4267.3947,0.0,19:30-19:40,711.23245
19:50,1.3473,4269.975,0.0,19:40-19:50,711.6625
20:00,1.3482,4268.6702,0.0,19:50-20:00,711.4450333333332
20:10,1.3513,4282.2245,0.0,20:00-20:10,713.7040833333333
20:20,1.34,4291.7049,0.0,20:10-20:20,715.28415
20:30,1.3489,4291.3611,0.0,20:20-20:30,715.22685
20:40,1.3952,4293.9182,0.0,20:30-20:40,715.6530333333333
20:50,1.2226,4295.2135,0.0,20:40-20:50,715.8689166666666
21:00,0.9332,4302.0307,0.0,20:50-21:00,717.0051166666667
21:10,0.9068,4320.9618,0.0,21:00-21:10,720.1603
21:20,0.9371,4302.3292,0.0,21:10-21:20,717.0548666666666
21:30,0.9371,4322.6758,0.0,21:20-21:30,720.4459666666667
21:40,0.9871,4428.8083,0.0,21:30-21:40,738.1347166666666
21:50,0.7764,4030.1614,0.0,21:40-21:50,671.6935666666666
22:00,0.4209,3362.7419,0.0,21:50-22:00,560.4569833333333
22:10,0.3859,3309.3934,0.0,22:00-22:10,551.5655666666667
22:20,0.4368,3412.9563,0.0,22:10-22:20,568.8260499999999
22:30,0.4198,3381.9313,0.0,22:20-22:30,563.6552166666667
22:40,0.4186,3386.5592,0.0,22:30-22:40,564.4265333333333
22:50,0.4241,3400.4846,0.0,22:40-22:50,566.7474333333332
23:00,0.4237,3399.2426,0.0,22:50-23:00,566.5404333333333
23:10,0.4248,3406.9809,0.0,23:00-23:10,567.83015
23:20,0.424,3416.1518,0.0,23:10-23:20,569.3586333333333
23:30,0.422,3421.9811,0.0,23:20-23:30,570.3301833333333
23:40,0.424,3429.6923,0.0,23:30-23:40,571.6153833333333
23:50,0.4271,3439.061,0.0,23:40-23:50,573.1768333333333
0:00+1,0.4276,3444.7259,0.0,23:50-0:00+1,574.1209833333332
