time_raw,price,load_kw,pv_kw,interval,grid_kwh,charge_kwh,discharge_kwh,curtail_kwh,E_start_kwh,E_end_kwh,z_charge
07:00:00,0.8334,4523.4561,1508.6318,6:50-7:00,0.0,0.0,502.4707166666667,0.0,6779.561888888889,6221.261092592593,0
07:10:00,0.8092,4524.0721,1791.4107,7:00-7:10,0.0,0.0,455.4435666666667,0.0,6221.261092592593,5715.212685185185,0
07:20:00,0.7972,4545.8867,2085.4865,7:10-7:20,0.0,0.0,410.0667,0.0,5715.212685185185,5259.583018518519,0
07:30:00,0.7644,4523.2418,2381.2611,7:20-7:30,0.0,0.0,356.99678333333327,0.0,5259.583018518519,4862.919925925926,0
07:40:00,0.6899,4383.3566,2683.1752,7:30-7:40,1.0084836688624698e-05,0.0,283.36355658183,0.0,4862.919925925926,4548.071529723892,0
07:50:00,0.86,4910.4599,2986.3552,7:40-7:50,0.0,0.0,320.68411666666657,0.0,4548.071529723892,4191.755844538707,0
08:00:00,1.1617,5799.7327,3289.204,7:50-8:00,0.0,0.0,418.42144999999994,0.0,4191.755844538707,3726.8431223164844,0
08:10:00,1.1683,5884.826,3593.3613,8:00-8:10,0.0,0.0,381.91078333333326,0.0,3726.8431223164844,3302.4978075016697,0
08:20:00,1.0956,5748.0713,3890.7332,8:10-8:20,0.0,0.0,309.55634999999995,0.0,3302.4978075016697,2958.5463075016696,0
08:30:00,1.0849,5769.0581,4181.3417,8:20-8:30,0.0,0.0,264.61940000000004,0.0,2958.5463075016696,2664.524751946114,0
08:40:00,1.061,5754.2105,4471.7657,8:30-8:40,0.0,0.0,213.74080000000004,0.0,2664.524751946114,2427.0349741683362,0
08:50:00,1.043,5824.1807,4752.8272,8:40-8:50,0.0,0.0,178.55891666666673,0.0,2427.0349741683362,2228.6361778720398,0
09:00:00,1.036,5954.2601,5021.9074,8:50-9:00,0.0,0.0,155.39211666666677,0.0,2228.6361778720398,2055.9782704646323,0
09:10:00,1.0147,5958.9696,5285.4126,9:00-9:10,0.0,0.0,112.25950000000012,0.0,2055.9782704646323,1931.2454926868543,0
09:20:00,0.9922,5929.5554,5543.1742,9:10-9:20,0.0,0.0,64.3968666666666,0.0,1931.2454926868543,1859.6934186127803,0
09:30:00,0.97,5923.7828,5788.4093,9:20-9:30,0.0,0.0,22.56224999999995,0.0,1859.6934186127803,1834.6242519461136,0
09:40:00,0.9422,5907.586,6012.1304,9:30-9:40,0.0,17.42406666666659,0.0,0.0,1834.6242519461136,1850.3059119461136,1
09:50:00,0.9569,5899.1262,6216.1528,9:40-9:50,0.0,52.83776666666654,0.0,0.0,1850.3059119461136,1897.8599019461135,1
10:00:00,0.9977,5902.2196,6409.5941,9:50-10:00,0.0,84.56241666666665,0.0,0.0,1897.8599019461135,1973.9660769461134,1
10:10,0.9919,5897.4793,6599.3808,10:00-10:10,0.0,116.9835833333334,0.0,0.0,1973.9660769461134,2079.2513019461135,1
10:20,0.9588,5886.7568,6766.7204,10:10-10:20,0.0,146.66060000000004,0.0,0.0,2079.2513019461135,2211.2458419461136,1
10:30,0.9549,5873.4708,6914.5923,10:20-10:30,0.0,173.52024999999992,0.0,0.0,2211.2458419461136,2367.4140669461135,1
10:40,0.9839,5858.0308,7064.2053,10:30-10:40,0.0,201.02908333333323,0.0,0.0,2367.4140669461135,2548.3402419461136,1
10:50,0.799,5844.9948,7197.4315,10:40-10:50,0.0,225.40611666666655,0.0,0.0,2548.3402419461136,2751.2057469461133,1
11:00,0.5025,5839.0587,7303.1142,10:50-11:00,0.0,244.00925000000007,0.0,0.0,2751.2057469461133,2970.8140719461135,1
11:10,0.4662,5838.7103,7387.6848,11:00-11:10,575.1709166666665,833.3333333333333,0.0,0.0,2970.8140719461135,3720.8140719461135,1
11:20,0.5007,5823.4378,7459.227,11:10-11:20,0.0,272.6315333333332,0.0,0.0,3720.8140719461135,3966.1824519461134,1
11:30,0.4827,5814.7932,7520.7191,11:20-11:30,0.0,284.3209833333333,0.0,0.0,3966.1824519461134,4222.071336946114,1
11:40,0.4785,5832.3951,7568.2039,11:30-11:40,179.27715894876678,468.57862561543357,0.0,0.0,4222.071336946114,4643.792100000004,1
11:50,0.4662,5712.901,7592.1539,11:40-11:50,520.1245166666665,833.3333333333333,0.0,0.0,4643.792100000004,5393.792100000004,1
12:00,0.4432,5519.4607,7601.0433,11:50-12:00,486.40289999999993,833.3333333333333,0.0,0.0,5393.792100000004,6143.792100000004,1
12:10,0.4411,5494.7907,7612.316,12:00-12:10,480.4124499999999,833.3333333333333,0.0,0.0,6143.792100000004,6893.792100000004,1
12:20,0.4551,5514.4524,7602.6524,12:10-12:20,485.29999999999995,833.3333333333333,0.0,0.0,6893.792100000004,7643.792100000004,1
12:30,0.4463,5485.829,7554.1872,12:20-12:30,488.6069666666666,833.3333333333333,0.0,0.0,7643.792100000004,8393.792100000004,1
12:40,0.4113,5462.3628,7472.7384,12:30-12:40,498.27073333333317,833.3333333333333,0.0,0.0,8393.792100000004,9143.792100000004,1
12:50,0.5682,5566.1066,7393.4172,12:40-12:50,0.0,304.5517666666665,0.0,0.0,9143.792100000004,9417.888690000003,1
13:00,0.8279,5725.7548,7312.7979,12:50-13:00,0.0,264.5071833333334,0.0,0.0,9417.888690000003,9655.945155000003,1
13:10,0.8636,5739.4957,7194.541,13:00-13:10,0.0,242.50754999999992,0.0,0.0,9655.945155000003,9874.201950000002,1
13:20,0.8416,5714.6836,7053.1371,13:10-13:20,0.0,223.07558333333316,0.0,0.0,9874.201950000002,10074.969975000002,1
13:30,0.8618,5717.8505,6910.4064,13:20-13:30,0.0,198.75931666666656,0.0,0.0,10074.969975000002,10253.853360000001,1
13:40,0.8623,5708.2486,6772.4075,13:30-13:40,0.0,177.3598166666668,0.0,0.0,10253.853360000001,10413.477195000001,1
13:50,0.9026,5696.9182,6607.36,13:40-13:50,0.0,151.74029999999982,0.0,0.0,10413.477195000001,10550.043465,1
14:00,0.9754,5692.2983,6412.5085,13:50-14:00,0.0,120.0350333333331,0.0,0.0,10550.043465,10658.074995,1
14:10,1.0002,5687.1291,6214.0158,14:00-14:10,0.0,87.81445000000008,0.0,0.0,10658.074995,10737.108,1
14:20,0.9978,5678.962,6000.7112,14:10-14:20,0.0,53.62486666666655,0.0,0.0,10737.108,10785.37038,1
14:30,1.0271,5669.4508,5766.9816,14:20-14:30,0.0,16.255133333333447,0.0,0.0,10785.37038,10800.0,1
14:40,1.0906,5664.1948,5521.5066,14:30-14:40,0.0,0.0,23.781366666666713,0.0,10800.0,10773.57625925926,0
14:50,0.9376,5672.7011,5268.781,14:40-14:50,0.0,0.0,67.32001666666679,0.0,10773.57625925926,10698.77624074074,0
15:00,0.6694,5682.2544,5009.7152,14:50-15:00,112.0898666666667,0.0,0.0,0.0,10698.77624074074,10698.77624074074,0
15:10,0.66,5669.0195,4743.4484,15:00-15:10,266.73269362139905,112.47084362139907,0.0,0.0,10698.77624074074,10800.0,1
15:20,0.7217,5656.3651,4471.224,15:10-15:20,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,0
15:30,0.7308,5657.0867,4188.2025,15:20-15:30,244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,0
15:40,0.7534,5662.6008,3889.3931,15:30-15:40,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,0
15:50,0.7823,5669.2596,3594.5946,15:40-15:50,345.77750000000015,0.0,0.0,0.0,10800.0,10800.0,0
16:00,0.8055,5673.4767,3303.8878,15:50-16:00,394.9314833333333,0.0,0.0,0.0,10800.0,10800.0,0
16:10,0.8271,5671.0146,2998.4247,16:00-16:10,445.4316500000001,0.0,0.0,0.0,10800.0,10800.0,0
16:20,0.8519,5661.5926,2687.4131,16:10-16:20,495.69658333333325,0.0,0.0,0.0,10800.0,10800.0,0
16:30,0.8791,5665.8922,2383.1779,16:20-16:30,547.11905,0.0,0.0,0.0,10800.0,10800.0,0
16:40,0.9024,5689.0372,2089.1246,16:30-16:40,599.9854333333333,0.0,0.0,0.0,10800.0,10800.0,0
16:50,0.9163,5603.6614,1791.0829,16:40-16:50,635.4297499999999,0.0,-0.0,0.0,10800.0,10800.0,0
17:00,0.9264,5466.7124,1501.7283,16:50-17:00,660.8306833333334,0.0,-0.0,0.0,10800.0,10800.0,0
17:10,0.9462,5467.3939,1255.1723,17:00-17:10,702.0369333333333,0.0,-0.0,0.0,10800.0,10800.0,0
17:20,0.9742,5464.727,1036.3323,17:10-17:20,738.0657833333333,0.0,-0.0,0.0,10800.0,10800.0,0
17:30,0.9862,5492.4458,836.7775,17:20-17:30,775.9447166666666,0.0,-0.0,0.0,10800.0,10800.0,0
17:40,0.976,5621.7308,665.2313,17:30-17:40,826.08325,0.0,0.0,0.0,10800.0,10800.0,0
17:50,1.0742,5091.2126,516.6758,17:40-17:50,762.4227999999999,0.0,0.0,0.0,10800.0,10800.0,0
18:00,1.2313,4208.5688,386.6731,17:50-18:00,636.9826166666667,0.0,-0.0,0.0,10800.0,10800.0,0
18:10,1.2561,4122.7611,275.7933,18:00-18:10,531.8940499999999,0.0,109.26725000000005,0.0,10800.0,10678.591944444444,0
18:20,1.2447,4255.9358,182.9526,18:10-18:20,678.8305333333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,0
18:30,1.2545,4225.9524,108.3414,18:20-18:30,686.2684999999999,0.0,0.0,0.0,10678.591944444444,10678.591944444444,0
18:40,1.2522,4233.3384,54.3121,18:30-18:40,696.5043833333333,0.0,0.0,0.0,10678.591944444444,10678.591944444444,0
18:50,1.2881,4246.4625,18.6569,18:40-18:50,0.0,0.0,704.6342666666666,0.0,10678.591944444444,9895.664981481481,0
19:00,1.3466,4239.1795,0.2753,18:50-19:00,0.0,0.0,706.4840333333333,0.0,9895.664981481481,9110.682722222222,0
19:10,1.3523,4244.6684,0.2296,19:00-19:10,0.0,0.0,707.4064666666666,0.0,9110.682722222222,8324.675537037037,0
19:20,1.3445,4251.9187,0.6007,19:10-19:20,0.0,0.0,708.553,0.0,8324.675537037037,7537.394425925927,0
19:30,1.3483,4256.6813,0.0,19:20-19:30,0.0,0.0,709.4468833333333,0.0,7537.394425925927,6749.120111111112,0
19:40,1.349,4267.3947,0.0,19:30-19:40,0.0,0.0,711.23245,0.0,6749.120111111112,5958.861833333334,0
19:50,1.3473,4269.975,0.0,19:40-19:50,0.0,0.0,711.6625,0.0,5958.861833333334,5168.125722222223,0
20:00,1.3482,4268.6702,0.0,19:50-20:00,0.0,0.0,711.4450333333332,0.0,5168.125722222223,4377.631240740741,0
20:10,1.3513,4282.2245,0.0,20:00-20:10,0.0,0.0,713.7040833333333,0.0,4377.631240740741,3584.626703703704,0
20:20,1.34,4291.7049,0.0,20:10-20:20,0.0,0.0,715.28415,0.0,3584.626703703704,2789.8665370370372,0
20:30,1.3489,4291.3611,0.0,20:20-20:30,0.0,0.0,715.22685,0.0,2789.8665370370372,1995.170037037037,0
20:40,1.3952,4293.9182,0.0,20:30-20:40,0.0,0.0,715.6530333333333,0.0,1995.170037037037,1200.0,0
20:50,1.2226,4295.2135,0.0,20:40-20:50,715.8689166666666,0.0,-0.0,0.0,1200.0,1200.0,0
21:00,0.9332,4302.0307,0.0,20:50-21:00,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,0
21:10,0.9068,4320.9618,0.0,21:00-21:10,720.1603,0.0,0.0,0.0,1200.0,1200.0,0
21:20,0.9371,4302.3292,0.0,21:10-21:20,717.0548666666666,0.0,0.0,0.0,1200.0,1200.0,0
21:30,0.9371,4322.6758,0.0,21:20-21:30,720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,0
21:40,0.9871,4428.8083,0.0,21:30-21:40,738.1347166666666,0.0,-0.0,0.0,1200.0,1200.0,0
21:50,0.7764,4030.1614,0.0,21:40-21:50,671.6935666666666,0.0,-0.0,0.0,1200.0,1200.0,0
22:00,0.4209,3362.7419,0.0,21:50-22:00,1393.7903166666665,833.3333333333333,0.0,0.0,1200.0,1950.0,1
22:10,0.3859,3309.3934,0.0,22:00-22:10,1384.8989,833.3333333333333,0.0,0.0,1950.0,2700.0,1
22:20,0.4368,3412.9563,0.0,22:10-22:20,568.8260499999999,0.0,0.0,0.0,2700.0,2700.0,0
22:30,0.4198,3381.9313,0.0,22:20-22:30,1396.98855,833.3333333333333,0.0,0.0,2700.0,3450.0,1
22:40,0.4186,3386.5592,0.0,22:30-22:40,1397.7598666666665,833.3333333333333,0.0,0.0,3450.0,4200.0,1
22:50,0.4241,3400.4846,0.0,22:40-22:50,566.7474333333332,0.0,0.0,0.0,4200.0,4200.0,0
23:00,0.4237,3399.2426,0.0,22:50-23:00,1399.8737666666666,833.3333333333333,0.0,0.0,4200.0,4950.0,1
23:10,0.4248,3406.9809,0.0,23:00-23:10,567.83015,0.0,0.0,0.0,4950.0,4950.0,0
23:20,0.424,3416.1518,0.0,23:10-23:20,569.3586333333333,0.0,0.0,0.0,4950.0,4950.0,0
23:30,0.422,3421.9811,0.0,23:20-23:30,1403.6635166666665,833.3333333333333,0.0,0.0,4950.0,5700.0,1
23:40,0.424,3429.6923,0.0,23:30-23:40,904.9487166666667,333.3333333333333,0.0,0.0,5700.0,6000.0,1
23:50,0.4271,3439.061,0.0,23:40-23:50,573.1768333333333,0.0,0.0,0.0,6000.0,6000.0,0
0:00+1,0.4276,3444.7259,0.0,23:50-0:00+1,574.1209833333332,0.0,0.0,0.0,6000.0,6000.0,0
